id,weighting,tenure_type,region
20220000001,3934.0483174469637,owner occupied,East
20220000005,1579.962310035841,owner occupied,South West
20220000006,3360.3633208351775,owner occupied,West Midlands
20220000012,1368.2038574476328,owner occupied,East Midlands
20220000013,9847.36258981471,owner occupied,South West
20220000017,3262.064637081293,owner occupied,West Midlands
20220000022,6584.304342972341,owner occupied,Yorkshire and the Humber
20220000025,388.8705586662657,owner occupied,South West
20220000026,4192.922563762569,private rented,East
20220000027,3588.6140583232163,owner occupied,North West
20220000028,2271.823267403296,owner occupied,South West
20220000030,1120.6518832244299,housing association,North West
20220000031,1739.3252244623477,owner occupied,North West
20220000035,1388.3056528332786,housing association,West Midlands
20220000036,824.7761895636443,owner occupied,North West
20220000038,1606.0683207267286,owner occupied,South East
20220000039,423.2688508495869,private rented,East
20220000040,1777.3492489677164,housing association,North West
20220000047,4022.978233502591,housing association,North East
20220000050,2483.3297944296055,owner occupied,South East
20220000058,2317.898270869932,owner occupied,North East
20220000067,2082.086327486795,owner occupied,West Midlands
20220000075,1016.9125389808133,private rented,East
20220000076,3515.803717771957,owner occupied,West Midlands
20220000077,3247.05666326765,owner occupied,West Midlands
20220000082,1475.9237185151715,housing association,East
20220000084,1776.5519518092437,owner occupied,South East
20220000090,1807.8478718894219,owner occupied,London
20220000092,1554.0196966836236,private rented,East
20220000101,768.5381031291566,owner occupied,North West
20220000106,356.21144256902653,owner occupied,East Midlands
20220000110,2546.442912578942,housing association,London
20220000111,3494.198369824679,owner occupied,West Midlands
20220000113,5254.072277391034,private rented,London
20220000116,2920.811011432261,owner occupied,North West
20220000119,1307.5308069849823,owner occupied,South West
20220000123,3676.685022155314,owner occupied,West Midlands
20220000126,1488.6407990383925,owner occupied,South West
20220000132,7609.224300579135,private rented,Yorkshire and the Humber
20220000134,775.2167956049,private rented,East Midlands
20220000135,1312.8604038124906,private rented,North East
20220000139,1578.11073814691,owner occupied,East
20220000140,2342.8682969576703,owner occupied,London
20220000148,1819.7810462102584,owner occupied,London
20220000150,2010.9284114312031,owner occupied,North West
20220000153,1968.1842936650992,owner occupied,East
20220000154,3041.9769041527475,owner occupied,Yorkshire and the Humber
20220000160,1962.5967843406213,owner occupied,East Midlands
20220000165,1356.0083179997469,housing association,North West
20220000166,2103.0680039126737,owner occupied,South East
20220000174,7439.445385219282,owner occupied,North West
20220000177,964.3719852691048,owner occupied,East Midlands
20220000180,967.705187678108,local authority,North East
20220000182,6051.8054504614365,owner occupied,South East
20220000183,9826.505703818917,owner occupied,East
20220000187,1527.6435853963749,private rented,London
20220000193,541.2411010893918,owner occupied,Yorkshire and the Humber
20220000198,557.0002228803825,private rented,South West
20220000200,948.0526733529546,owner occupied,East Midlands
20220000201,9293.220718656332,private rented,Yorkshire and the Humber
20220000202,536.1621758387928,local authority,North West
20220000206,8073.449268309574,owner occupied,South West
20220000208,797.1432925021503,private rented,Yorkshire and the Humber
20220000209,1530.859389953373,local authority,South East
20220000210,3682.1783260132042,owner occupied,East
20220000213,1113.4118929755407,private rented,Yorkshire and the Humber
20220000221,1553.2873148964993,local authority,East
20220000222,4193.407582245325,private rented,London
20220000227,524.7468344658881,private rented,East Midlands
20220000228,3145.873828139972,housing association,South West
20220000231,1907.8680938100217,owner occupied,East
20220000232,3484.955806201042,owner occupied,London
20220000235,1219.6105341961127,owner occupied,South East
20220000243,9331.473319999268,owner occupied,South West
20220000245,1962.1192345514023,housing association,East Midlands
20220000247,2466.7830192276124,owner occupied,North West
20220000255,2305.01082015549,owner occupied,North West
20220000262,1838.3842764716987,owner occupied,North West
20220000264,1505.523128302042,local authority,North East
20220000265,2098.4520943340826,owner occupied,North West
20220000266,3315.631346923165,owner occupied,West Midlands
20220000269,1202.1578121496225,owner occupied,East
20220000270,1154.0642039145048,owner occupied,North West
20220000271,4019.1427495483163,owner occupied,East Midlands
20220000277,443.74168118600653,housing association,East
20220000279,3379.1093903840533,housing association,London
20220000280,4169.449661189371,private rented,Yorkshire and the Humber
20220000285,1102.298351237025,private rented,South East
20220000287,2394.7860189063495,private rented,South West
20220000289,2042.0983713641533,local authority,East
20220000295,1274.702951786907,housing association,East
20220000297,1718.8268718859833,owner occupied,London
20220000299,540.1259939633037,owner occupied,North West
20220000302,4388.134810845211,owner occupied,West Midlands
20220000303,1421.2357008772317,local authority,Yorkshire and the Humber
20220000304,1846.149490358053,owner occupied,South West
20220000305,3069.8752106031125,owner occupied,North East
20220000310,549.4834472136413,owner occupied,East
20220000312,1395.2369841482064,private rented,North West
20220000315,5789.421764112334,owner occupied,London
20220000316,2382.121837768746,owner occupied,South East
20220000322,786.3233756706061,owner occupied,West Midlands
20220000323,825.6423430477773,owner occupied,North West
20220000325,13563.688045788393,owner occupied,East
20220000326,1843.831729561753,private rented,North West
20220000331,4736.796298286399,owner occupied,South East
20220000332,769.1474288818833,local authority,Yorkshire and the Humber
20220000333,2438.9810168776858,owner occupied,East
20220000335,2608.6597029484024,owner occupied,South East
20220000339,4658.279132025685,owner occupied,South East
20220000343,1376.7861752663616,owner occupied,North West
20220000347,5861.940647703449,owner occupied,East Midlands
20220000352,7144.7632427458875,owner occupied,South East
20220000354,12889.086589338776,owner occupied,West Midlands
20220000356,2168.8537121775016,owner occupied,East
20220000378,3459.3616338710813,owner occupied,North West
20220000385,3415.35736902012,owner occupied,East
20220000387,2311.593373896208,owner occupied,South East
20220000392,2099.008547061822,local authority,North East
20220000402,3296.2425605357766,owner occupied,East
20220000404,1135.9140827774618,housing association,East
20220000409,3094.890534570299,private rented,Yorkshire and the Humber
20220000410,2015.3947287065528,private rented,Yorkshire and the Humber
20220000412,1909.6486039843842,private rented,South East
20220000413,2430.6658938219994,owner occupied,London
20220000416,1343.419481035608,local authority,West Midlands
20220000417,4435.996552372164,owner occupied,North East
20220000419,2441.5171421794266,owner occupied,London
20220000421,6265.164506929392,owner occupied,North West
20220000423,727.3188904202359,private rented,North West
20220000425,2262.999485285339,housing association,South East
20220000426,3288.8205188045335,housing association,East
20220000431,6139.338920994162,housing association,North West
20220000434,4519.693480816036,owner occupied,South West
