id,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220000001,38377.5,20-29 years,NA,NA,freehold
20220000005,26525,30+ years,NA,NA,freehold
20220000006,25272.5,10-19 years,NA,NA,freehold
20220000012,51279.8,3-4 years,NA,184.6153846153846,freehold
20220000013,14365,30+ years,NA,88.84615384615384,freehold
20220000017,38955,30+ years,NA,NA,freehold
20220000022,21373.519999999997,10-19 years,NA,NA,freehold
20220000025,53197.8,one year,NA,313.1413133476821,freehold
20220000026,33639.8,10-19 years,181.15384615384616,NA,NA
20220000027,94235,30+ years,NA,189.23076923076923,freehold
20220000028,64012.63,10-19 years,NA,69.23076923076923,freehold
20220000030,57230.8,3-4 years,84.8076923076923,NA,NA
20220000031,30475,30+ years,NA,NA,freehold
20220000035,24622,5-9 years,90.53254437869822,NA,NA
20220000036,100000,3-4 years,NA,145.3846153846154,leasehold
20220000038,53835.8186,5-9 years,NA,369.2307692307692,freehold
20220000039,77778.75,3-4 years,288.46153846153845,NA,NA
20220000040,12028.64,two years,96.92307692307692,NA,NA
20220000047,10229.5,10-19 years,77.48076923076923,NA,NA
20220000050,72721,20-29 years,NA,150,freehold
20220000058,42602.504,3-4 years,NA,NA,freehold
20220000067,29326.25,20-29 years,NA,NA,freehold
20220000075,9452.95,3-4 years,138.46153846153845,NA,NA
20220000076,29455,20-29 years,NA,NA,leasehold
20220000077,10127.5,30+ years,NA,NA,freehold
20220000082,44148.32,5-9 years,168.46153846153845,NA,NA
20220000084,96865,3-4 years,NA,169.6153846153846,freehold
20220000090,97187.5,10-19 years,NA,276.9230769230769,freehold
20220000092,50423.75,less than 1 year,265.38461538461536,NA,NA
20220000101,22484,3-4 years,NA,NA,freehold
20220000106,34395,3-4 years,NA,152.30769230769232,freehold
20220000110,38955,10-19 years,123,NA,NA
20220000111,17369.8,3-4 years,NA,193.84615384615384,freehold
20220000113,60312.5,less than 1 year,190.3846153846154,NA,NA
20220000116,18983,20-29 years,NA,NA,freehold
20220000119,56208.0992,one year,NA,174,leasehold
20220000123,41172.5,one year,NA,198.07773087843998,freehold
20220000126,37857.5,30+ years,NA,NA,freehold
20220000132,95297.5,5-9 years,230.76923076923077,NA,NA
20220000134,74237.5,less than 1 year,190.3846153846154,NA,NA
20220000135,12660,10-19 years,110,NA,NA
20220000139,78318.55,3-4 years,NA,259.15384615384613,freehold
20220000140,72500,3-4 years,NA,346.15384615384613,freehold
20220000148,25060,30+ years,NA,92.43285000430207,freehold
20220000150,24737.5,5-9 years,NA,138.46153846153845,freehold
20220000153,53577.5,30+ years,NA,NA,freehold
20220000154,14056,30+ years,NA,NA,freehold
20220000160,49400,5-9 years,NA,126.92307692307692,freehold
20220000165,20509.55,3-4 years,83,NA,NA
20220000166,74172.54000000001,less than 1 year,NA,401.3375863678435,freehold
20220000174,46636.4406,5-9 years,NA,161.07692307692307,freehold
20220000177,64406.25,one year,NA,161.76923076923077,freehold
20220000180,43568.75,30+ years,79.45562130177515,NA,NA
20220000182,64207,20-29 years,NA,NA,freehold
20220000183,32500,10-19 years,NA,65.76923076923077,freehold
20220000187,35250,less than 1 year,231.46153846153845,NA,NA
20220000193,100000,less than 1 year,NA,230.76923076923077,freehold
20220000198,36735.8,5-9 years,146.53846153846155,NA,NA
20220000200,34780,5-9 years,NA,NA,freehold
20220000201,25032.68,5-9 years,126.92307692307692,NA,NA
20220000202,14190,one year,88.9423076923077,NA,NA
20220000206,12119,30+ years,NA,NA,freehold
