id,weighting,tenure_type,region,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220000001,3934.048317446964,owner occupied,East,38377.5,20-29 years,NA,NA,freehold
20220000005,1579.962310035841,owner occupied,South West,26525,30+ years,NA,NA,freehold
20220000006,3360.3633208351775,owner occupied,West Midlands,25272.5,10-19 years,NA,NA,freehold
20220000012,1368.2038574476328,owner occupied,East Midlands,51279.8,3-4 years,NA,184.6153846153846,freehold
20220000013,9847.36258981471,owner occupied,South West,14365,30+ years,NA,88.84615384615384,freehold
20220000017,3262.064637081293,owner occupied,West Midlands,38955,30+ years,NA,NA,freehold
20220000022,6584.304342972341,owner occupied,Yorkshire and the Humber,21373.519999999997,10-19 years,NA,NA,freehold
20220000025,388.8705586662657,owner occupied,South West,53197.8,one year,NA,313.1413133476821,freehold
20220000026,4192.922563762569,private rented,East,33639.8,10-19 years,181.15384615384616,NA,NA
20220000027,3588.6140583232163,owner occupied,North West,94235,30+ years,NA,189.23076923076923,freehold
20220000028,2271.823267403296,owner occupied,South West,64012.63,10-19 years,NA,69.23076923076923,freehold
20220000030,1120.65188322443,housing association,North West,57230.8,3-4 years,84.8076923076923,NA,NA
20220000031,1739.3252244623477,owner occupied,North West,30475,30+ years,NA,NA,freehold
20220000035,1388.3056528332786,housing association,West Midlands,24622,5-9 years,90.53254437869822,NA,NA
20220000036,824.7761895636443,owner occupied,North West,100000,3-4 years,NA,145.3846153846154,leasehold
20220000038,1606.0683207267286,owner occupied,South East,53835.8186,5-9 years,NA,369.2307692307692,freehold
20220000039,423.2688508495869,private rented,East,77778.75,3-4 years,288.46153846153845,NA,NA
20220000040,1777.3492489677164,housing association,North West,12028.64,two years,96.92307692307692,NA,NA
20220000047,4022.978233502591,housing association,North East,10229.5,10-19 years,77.48076923076923,NA,NA
20220000050,2483.3297944296055,owner occupied,South East,72721,20-29 years,NA,150,freehold
20220000058,2317.898270869932,owner occupied,North East,42602.504,3-4 years,NA,NA,freehold
20220000067,2082.086327486795,owner occupied,West Midlands,29326.25,20-29 years,NA,NA,freehold
20220000075,1016.9125389808132,private rented,East,9452.95,3-4 years,138.46153846153845,NA,NA
20220000076,3515.803717771957,owner occupied,West Midlands,29455,20-29 years,NA,NA,leasehold
20220000077,3247.05666326765,owner occupied,West Midlands,10127.5,30+ years,NA,NA,freehold
20220000082,1475.9237185151717,housing association,East,44148.32,5-9 years,168.46153846153845,NA,NA
20220000084,1776.5519518092435,owner occupied,South East,96865,3-4 years,NA,169.6153846153846,freehold
20220000090,1807.847871889422,owner occupied,London,97187.5,10-19 years,NA,276.9230769230769,freehold
20220000092,1554.0196966836236,private rented,East,50423.75,less than 1 year,265.38461538461536,NA,NA
20220000101,768.5381031291566,owner occupied,North West,22484,3-4 years,NA,NA,freehold
20220000106,356.21144256902653,owner occupied,East Midlands,34395,3-4 years,NA,152.30769230769232,freehold
20220000110,2546.442912578942,housing association,London,38955,10-19 years,123,NA,NA
20220000111,3494.198369824679,owner occupied,West Midlands,17369.8,3-4 years,NA,193.84615384615384,freehold
20220000113,5254.072277391034,private rented,London,60312.5,less than 1 year,190.3846153846154,NA,NA
20220000116,2920.811011432261,owner occupied,North West,18983,20-29 years,NA,NA,freehold
20220000119,1307.5308069849823,owner occupied,South West,56208.0992,one year,NA,174,leasehold
20220000123,3676.685022155314,owner occupied,West Midlands,41172.5,one year,NA,198.07773087844,freehold
20220000126,1488.6407990383923,owner occupied,South West,37857.5,30+ years,NA,NA,freehold
20220000132,7609.224300579135,private rented,Yorkshire and the Humber,95297.5,5-9 years,230.76923076923077,NA,NA
20220000134,775.2167956049,private rented,East Midlands,74237.5,less than 1 year,190.3846153846154,NA,NA
20220000135,1312.8604038124906,private rented,North East,12660,10-19 years,110,NA,NA
20220000139,1578.11073814691,owner occupied,East,78318.55,3-4 years,NA,259.15384615384613,freehold
20220000140,2342.8682969576703,owner occupied,London,72500,3-4 years,NA,346.15384615384613,freehold
20220000148,1819.7810462102584,owner occupied,London,25060,30+ years,NA,92.43285000430208,freehold
20220000150,2010.9284114312031,owner occupied,North West,24737.5,5-9 years,NA,138.46153846153845,freehold
20220000153,1968.1842936650992,owner occupied,East,53577.5,30+ years,NA,NA,freehold
20220000154,3041.9769041527475,owner occupied,Yorkshire and the Humber,14056,30+ years,NA,NA,freehold
20220000160,1962.5967843406213,owner occupied,East Midlands,49400,5-9 years,NA,126.92307692307692,freehold
20220000165,1356.0083179997469,housing association,North West,20509.55,3-4 years,83,NA,NA
20220000166,2103.0680039126737,owner occupied,South East,74172.54000000001,less than 1 year,NA,401.3375863678435,freehold
20220000174,7439.445385219282,owner occupied,North West,46636.4406,5-9 years,NA,161.07692307692307,freehold
20220000177,964.3719852691048,owner occupied,East Midlands,64406.25,one year,NA,161.76923076923077,freehold
20220000180,967.705187678108,local authority,North East,43568.75,30+ years,79.45562130177515,NA,NA
20220000182,6051.8054504614365,owner occupied,South East,64207,20-29 years,NA,NA,freehold
20220000183,9826.505703818915,owner occupied,East,32500,10-19 years,NA,65.76923076923077,freehold
20220000187,1527.6435853963749,private rented,London,35250,less than 1 year,231.46153846153845,NA,NA
20220000193,541.2411010893918,owner occupied,Yorkshire and the Humber,100000,less than 1 year,NA,230.76923076923077,freehold
20220000198,557.0002228803825,private rented,South West,36735.8,5-9 years,146.53846153846155,NA,NA
20220000200,948.0526733529546,owner occupied,East Midlands,34780,5-9 years,NA,NA,freehold
